ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0000281	mitotic cytokinesis	41/5381	88/18870	0.00023412961107824	0.00570285702676345	0.00456031400363326	IQGAP1/CHMP5/SPTBN1/ROCK2/STAMBP/EXOC6B/MITD1/MYH10/NUSAP1/SNX18/STMN1/CHMP4B/APC/CHMP4A/BIRC5/ESPL1/CEP55/RHOC/JTB/AURKB/CKAP2/EXOC8/INCENP/PLK1/EXOC6/RAB35/RACGAP1/KIF23/WNK1/CFL1/EXOC1/EFHC1/CHMP2B/SNX9/EXOC3/IQGAP2/VPS4A/SEPTIN6/ARL3/ANK3/CHMP2A	41
GO:0060260	regulation of transcription initiation by RNA polymerase II	35/5381	72/18870	0.000237467984523977	0.0057191397437302	0.00457333454787138	MED12/TAF8/ATF7IP/MED18/TAF7/TAF9/GTF2A1/TAF11/SUB1/MED4/PSMC6/TP53/TBP/ERCC6/MED13/MED15/MED8/CDK4/TAF4/MED23/MDC1/MED11/TAF13/MED16/TAF1/MED25/MED9/MED14/MED28/HNF1B/MED1/GTF2A2/MED24/TAF6/MED26	35
GO:0016042	lipid catabolic process	125/5381	334/18870	0.000238231065220064	0.0057191397437302	0.00457333454787138	APOC2/PLCB2/PEX2/ACAD11/BSCL2/PLBD2/FABP1/PLCB3/IAH1/HCAR2/PLPP6/TBL1XR1/ECHDC1/IVD/ACACB/BDH2/ACER3/CPS1/AOAH/NCEH1/PCK2/ACAD10/LIPA/SCARF1/PRKAA1/ABCB11/GALC/PLA2G12B/GDE1/GPLD1/HSD17B6/IRS1/NEU3/RAB7A/GLA/HEXB/PLCXD2/ACER2/NEU1/CYP46A1/SPP1/FITM2/ABCD1/PLAAT4/ABHD3/GCDH/LIPE/STS/ASAH2B/PRDX6/MGST2/ACAT2/SMPD4/ETFDH/PPARA/LDAH/SNX17/HADH/NUDT7/SCP2/PNPLA2/AKR1B10/PLA2G4C/ACOX1/GPIHBP1/FUCA1/CYP1A2/HINT2/APOC3/PLA2G15/APOA2/PLIN1/LONP2/ETFA/PLB1/DPEP2/CYP4F2/FGF21/LIPC/HAO1/NAAA/CIDEA/PIK3CG/MGLL/LDLR/AKR1C3/PLD6/CYP26B1/ECHDC2/ECHS1/SRD5A1/APOE/YWHAH/ASPG/ABHD1/SORL1/ABHD5/PLA2G2D/ETFB/ABCD4/ABCD3/ASAH1/PNPLA8/DAGLA/SLC25A17/DECR1/PLCG1/PCCB/NAGLU/SGPL1/AMACR/PAFAH2/SRD5A3/AADAC/PNPLA7/GPCPD1/HPGD/ABHD15/ACAT1/PNPLA6/LYPLA2/ECI2/ASAH2/CYP4A11/PLCG2	125
GO:0030038	contractile actin filament bundle assembly	49/5381	110/18870	0.000238410373021439	0.0057191397437302	0.00457333454787138	ARHGEF18/NF2/F11R/CLASP1/ROCK2/SORBS1/DLC1/LIMCH1/RAPGEF3/ABL1/TPM1/FHOD1/SMAD3/S100A10/STMN1/ARHGAP6/ITGB1BP1/NRP1/ALMS1/TSC1/CGNL1/TJP1/RHOC/PHACTR1/ZEB2/GPR65/MKKS/S1PR1/EVL/ARRB1/ARHGEF10L/ARHGEF5/WAS/PTK2B/PPFIA1/PTGER4/WNT4/ELN/FERMT2/CCDC88A/MET/PPM1F/CLASP2/SORBS3/CARMIL1/ZYX/ARHGEF15/ARHGEF10/WNT11	49
GO:0043149	stress fiber assembly	49/5381	110/18870	0.000238410373021439	0.0057191397437302	0.00457333454787138	ARHGEF18/NF2/F11R/CLASP1/ROCK2/SORBS1/DLC1/LIMCH1/RAPGEF3/ABL1/TPM1/FHOD1/SMAD3/S100A10/STMN1/ARHGAP6/ITGB1BP1/NRP1/ALMS1/TSC1/CGNL1/TJP1/RHOC/PHACTR1/ZEB2/GPR65/MKKS/S1PR1/EVL/ARRB1/ARHGEF10L/ARHGEF5/WAS/PTK2B/PPFIA1/PTGER4/WNT4/ELN/FERMT2/CCDC88A/MET/PPM1F/CLASP2/SORBS3/CARMIL1/ZYX/ARHGEF15/ARHGEF10/WNT11	49
GO:0071548	response to dexamethasone	22/5381	39/18870	0.000239887858008404	0.00572595289126636	0.00457878271042783	ACE/IGF1R/CPS1/PCK2/PCNA/CFLAR/ASS1/FECH/TAT/TFAP4/FIBIN/GJB2/AQP1/ATP5F1A/SRD5A1/AXIN2/PTAFR/CLDN1/JAK2/NR3C1/SERPINF1/PAPPA	22
GO:0007062	sister chromatid cohesion	30/5381	59/18870	0.000240502679468949	0.00572595289126636	0.00457878271042783	CDC20/CHTF8/BOD1/GTF2B/POGZ/MACROH2A1/NAA10/ESPL1/MRE11/SLF1/SMC5/PLK1/HDAC8/PDS5A/SGO1/CTCF/AXIN2/CTNNB1/BUB1/MAU2/SGO2/WAPL/NAA50/RAD51C/TNKS/SLF2/FEN1/STAG3/NSMCE2/TENT4A	30
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	24/5381	44/18870	0.000253876884743613	0.00602173150217715	0.00481530334122421	RPS27L/HIPK2/PHLDA3/TRIAP1/RPL26/EP300/KDM1A/TAF9/HIPK1/CDKN1A/TP53/MIF/CD44/ZNF385A/BAG6/DYRK2/PYCARD/SHISA5/PML/HNRNPK/CDIP1/CHEK2/AEN/ING2	24
GO:0099022	vesicle tethering	19/5381	32/18870	0.000258014786420872	0.00609245071129604	0.00487185425915136	EXOC6B/TRAPPC13/TRAPPC3/TRAPPC12/TRAPPC4/TRAPPC2/TRAPPC11/EXOC8/EXOC6/TRAPPC10/WDR11/TRAPPC5/TRAPPC2L/TRAPPC2B/NAGLU/EXOC1/TRAPPC6A/EXOC3/TRIP11	19
GO:0050821	protein stabilization	86/5381	217/18870	0.000258782447708611	0.00609245071129604	0.00487185425915136	HCFC1/STK4/CCT4/RPS7/UBE2B/PPIB/PFDN6/ATP1B2/PYURF/HSP90AA1/BAG2/ZBED3/ATF7IP/PER3/EP300/RPL11/HIP1/DVL3/TAF9/PARK7/USP7/SMAD3/CAMLG/TP53/CDC37L1/TSPAN1/TSC1/CCT5/RTN4/SUMO1/RASSF2/TRIM39/WIZ/UXT/CCT7/CCT6A/PDCD10/CCT3/USP19/GPIHBP1/IFT46/IP6K2/IGF1/BAG1/APOA2/CRYAB/CCT2/PPARGC1A/TTI2/SOX4/TAF1/CTNND1/NAPG/ATP1B3/HSP90AB1/PDCL3/CCNH/BAG6/USP9X/RPL5/GNAQ/USP2/COA8/NPM1/SEL1L/ZSWIM7/HPS4/NOP53/A1CF/CHEK2/TTI1/PINK1/AFM/PTGES3/PIH1D1/TBL1X/PEX19/DVL1/CDK7/SWSAP1/PDRG1/COG3/ATP1B1/USP13/LAMP2/HSPD1	86
GO:0044242	cellular lipid catabolic process	88/5381	223/18870	0.000261980020993788	0.00613131051501231	0.00490292866733555	APOC2/PEX2/ACAD11/PLBD2/FABP1/PLPP6/ECHDC1/IVD/ACACB/BDH2/ACER3/CPS1/PCK2/ACAD10/ABCB11/GALC/GDE1/GPLD1/IRS1/NEU3/GLA/HEXB/ACER2/NEU1/ABCD1/ABHD3/GCDH/LIPE/ASAH2B/PRDX6/MGST2/ACAT2/SMPD4/ETFDH/PPARA/HADH/NUDT7/SCP2/PNPLA2/AKR1B10/PLA2G4C/ACOX1/GPIHBP1/FUCA1/APOC3/PLA2G15/APOA2/LONP2/ETFA/PLB1/CYP4F2/FGF21/LIPC/HAO1/PIK3CG/MGLL/LDLR/AKR1C3/CYP26B1/ECHDC2/ECHS1/ABHD1/SORL1/ABHD5/ETFB/ABCD4/ABCD3/ASAH1/PNPLA8/DAGLA/SLC25A17/DECR1/PLCG1/PCCB/NAGLU/SGPL1/AMACR/SRD5A3/AADAC/PNPLA7/GPCPD1/ACAT1/PNPLA6/LYPLA2/ECI2/ASAH2/CYP4A11/PLCG2	88
GO:0007052	mitotic spindle organization	56/5381	130/18870	0.000262369358845466	0.00613131051501231	0.00490292866733555	PCNT/CHMP5/CLASP1/LSM14A/MAP1S/CCNB1/PKD1/CDC20/PTPA/TPR/BCCIP/SBDS/PLK2/STMN1/NUMA1/CHMP4B/KIF3B/CHMP4A/BIRC5/DYNC1H1/MECP2/KIF2A/INTS13/CEP192/AURKB/CENPH/PARP3/PIBF1/TPX2/HNRNPU/INCENP/PLK1/FAM110A/NUDC/MYBL2/RACGAP1/CKAP5/KIF23/CENPJ/CENPE/SPC25/NEK2/NDC80/CLASP2/SUN2/CHEK2/RCC1/EFHC1/PRC1/TNKS/ARHGEF10/CHMP2B/CEP126/DCTN1/DCTN2/CHMP2A	56
GO:0040029	epigenetic regulation of gene expression	90/5381	229/18870	0.000264534298244474	0.00615917540728769	0.00492521094757803	HCFC1/KMT2D/PHF2/EHMT1/HIPK2/PHF8/ZNF445/HDAC4/KANSL1/KANSL2/MTA1/DPY30/DYRK1A/RLIM/POLE3/SIN3A/SPI1/ATF7IP/EP300/HAT1/UBR5/TDG/KDM1A/H3-3A/OGT/TPR/BRD7/DCAF13/USP7/LMNB1/L3MBTL3/TP53/KLF2/CREBZF/HDAC9/SUV39H2/ZNF335/UBR2/MACROH2A1/HDAC1/CBX3/EIF1/METTL23/DOT1L/MSL1/MECP2/RNF8/KCNQ1/HELLS/JARID2/ARID4B/GPX1/MSL3/CDYL/HNRNPU/RNF2/SMARCB1/FAM47E/PCGF3/KDM1B/CGGBP1/CTCF/RBM15/TRIP12/MYOCD/IGF2/RNF168/CDKN1C/MORC1/HDAC5/YTHDC1/VPS72/MYC/GLMN/NIBAN2/KANSL3/ZDBF2/RBBP5/SMARCA5/LMNB2/SETDB2/ZMPSTE24/LHX2/ING2/KDM5A/PHF19/TASOR/MTF2/RIF1/MACROH2A2	90
GO:0120161	regulation of cold-induced thermogenesis	63/5381	150/18870	0.000265769733891913	0.00616527371698712	0.0049300874870021	EHMT1/NOTCH1/PER2/BSCL2/EPAS1/KDM6B/CMKLR1/IGF1R/NOVA2/TLE3/CEBPB/DHRS7B/PRLR/KDM1A/RHEB/TLR4/OGT/CD36/ADAM17/ZNF423/ZNF516/GNAS/DDIT3/LNPEP/ALMS1/APC/LCN2/PEMT/DYNC1H1/OMA1/ELOVL6/HADH/CNOT3/PPARGC1A/FGF21/PGAM5/ATF4/CIDEA/PLAC8/GRB10/LETMD1/PTH2R/UCP2/FLCN/ADAMTS5/HSF1/PRKAB1/FABP5/FABP4/LEPR/DECR1/APPL2/ADRB1/PPARGC1B/MFAP2/TRPM8/JAK2/ARRDC3/SYK/ADIPOR1/ADIPOR2/ACOT13/IL15	63
GO:0030968	endoplasmic reticulum unfolded protein response	36/5381	75/18870	0.000267092834098531	0.00617335371659123	0.00493654869323101	ERN1/SELENOS/QRICH1/ERLEC1/SERP1/BAX/NCK2/PTPN2/DERL1/COPS5/TBL2/DDIT3/PTPN1/CREBZF/DERL2/ATF3/TMED2/PARP6/DERL3/PPP1R15B/FGF21/UFL1/XBP1/DDRGK1/ATF4/BHLHA15/CREB3/BAK1/ATF6/HSPA5/SERP2/PPP1R15A/CDK5RAP3/DNAJC10/HERPUD2/RACK1	36
GO:0046794	transport of virus	15/5381	23/18870	0.000274861042160852	0.00630012297658504	0.00503792027397851	SIGLEC1/CD209/DYNLT1/BST2/TPCN1/CTSL/CLEC4M/TPCN2/EPS15/FMR1/NMT2/NUP153/PIKFYVE/JPT2/KPNA2	15
GO:0051457	maintenance of protein location in nucleus	15/5381	23/18870	0.000274861042160852	0.00630012297658504	0.00503792027397851	TAF8/SKP1/SUN1/PARK7/TXN/SP100/ARL2BP/SYNE1/CIZ1/HNRNPU/CDK5/RANGAP1/PML/CHCHD10/SUN2	15
GO:0110020	regulation of actomyosin structure organization	47/5381	105/18870	0.000275761958653048	0.00630012297658504	0.00503792027397851	ARHGEF18/NF2/F11R/CLASP1/SMAD4/ROCK2/BMP10/DLC1/LIMCH1/RAPGEF3/ABL1/TPM1/FHOD1/SMAD3/S100A10/STMN1/ARHGAP6/ITGB1BP1/NRP1/ALMS1/TSC1/CGNL1/AKAP13/PROX1/TJP1/RHOC/GPR65/MKKS/S1PR1/EVL/ARHGEF10L/ARHGEF5/WAS/PPFIA1/PTGER4/WNT4/FERMT2/CCDC88A/MET/PPM1F/CLASP2/SORBS3/PRKD1/CARMIL1/ARHGEF15/ARHGEF10/WNT11	47
GO:0006644	phospholipid metabolic process	138/5381	375/18870	0.00027655679575093	0.00630012297658504	0.00503792027397851	CETP/APOC2/PLCB2/FABP3/LPCAT2/MTMR4/INPP5D/ITPKB/CDS2/PLBD2/PITPNM3/PLCB3/PLPP6/CHPT1/LPCAT1/GNPAT/INPP5B/ITPKC/BPNT1/HMGCS1/SLC44A2/IDI1/PIP5K1A/AGPAT3/SMG1/DHRS7B/ADGRF5/DPM1/ISYNA1/PIK3CD/CAPN2/PGS1/PMVK/OSBPL5/HMGCS2/PIGF/AJUBA/PLA2G12B/FDFT1/GDE1/GPLD1/BECN1/NUS1/PIP4P1/ORMDL1/PIP4K2A/PIP5K1C/HEXB/PTPMT1/DGKG/PI4KA/MTMR1/FITM2/PLAAT4/ABHD3/DBI/PEMT/PITPNM1/PDGFA/PRDX6/INPP4A/SOCS1/PIK3C3/SLC30A5/SMPD4/PLSCR1/PIGP/MECP2/ABCA2/GGPS1/PLA2G4C/DGKZ/DGKD/FAR1/CRLS1/IP6K2/PLA2G15/APOA2/SLC44A3/PLB1/PIGH/PIK3C2B/LIPC/PLEK/SPTLC2/SOCS2/NAAA/ATM/PIK3CG/PIKFYVE/BMX/PON1/PGAP3/MVD/LDLR/PI4K2A/MBOAT1/GPAM/SGMS2/FDPS/SLC27A1/DPM2/SERINC5/OSBPL10/ABHD5/PLA2G2D/SLC44A5/FABP5/PNPLA8/FIG4/ALOX15/FGF2/NR1H4/MTMR3/PLCG1/AGPAT5/SYNJ1/SOCS7/SLC44A1/SPTLC1/SAMD8/LCLAT1/SRD5A3/PNPLA7/GPCPD1/PI4K2B/PGAP4/PIGS/PNPLA6/PLAA/MTM1/IP6K3/ABCA8/PDGFRB/PIK3C2A/TNFAIP8L3/TMEM150A/PLCG2	138
GO:0016241	regulation of macroautophagy	66/5381	159/18870	0.000287608369107872	0.00652840072243783	0.00522046354943585	ERN1/ATP13A2/KDR/HMOX1/ATG5/RNF31/TSC2/VPS13C/ATP6V1D/PRKACA/FYCO1/WIPI1/RHEB/TRIM13/HIF1A/ATG2A/ATP6V1E2/BECN1/SNX18/ATP6V1G1/TP53/VPS26A/PIP4K2A/ATP6V1E1/RUBCN/SMCR8/TSC1/ATP6V0B/SNX6/SCOC/SESN1/PHF23/SNX7/LARP1/ULK1/PIK3C3/ATG12/SNX30/VPS13D/EXOC8/CAPNS1/SPTLC2/ATP6V0E1/CDK5/ATP6V1H/SESN3/CLEC16A/SCFD1/ATP6V0D1/OPTN/WDR24/FEZ1/EXOC1/VDAC1/SPTLC1/MOAP1/PINK1/PRKAA2/NPC1/ADCY10/ELAPOR1/RNF41/MTM1/NRBP2/TECPR1/TBK1	66
GO:0009314	response to radiation	155/5381	428/18870	0.000288659419569289	0.00652885751475825	0.00522082882536786	VCAM1/UBE4B/RELA/PER2/CREBBP/UVSSA/TRIAP1/UBE2B/SLC24A4/EGR1/HRH1/RPL26/MTA1/CRTC1/BABAM1/NET1/PER3/BAX/PCNA/EP300/PRKDC/KDM1A/HMGN1/IFT20/COL3A1/HIF1A/CBL/PRKAA1/RDH11/CDKN1A/CASP7/PRAP1/ANXA1/XPA/HYAL3/COP1/TP53/ERCC6/FKBPL/PDE1B/CABP4/NF1/FECH/HMGCR/RAD51/PTPRK/TXN/ROM1/CXCL10/RAD1/SDE2/PTPRC/EYA3/POLB/COPS9/SNAI2/PITPNM1/USP1/CEP250/FANCG/PCLAF/RBX1/TUBA1A/RHNO1/UBE2A/APP/MECP2/RNF8/BRCC3/MMP9/TICRR/BEST1/DDB2/ERCC5/MFAP4/AURKB/TIPIN/ELANE/RAD51AP1/ERCC8/CRYAB/SYNE1/CCDC66/NMT2/GPX1/GTF2H5/CDKN2D/TAF1/PER1/COPS3/SPIDR/ATF4/INTS3/CCAR2/PARP1/ATM/AQP1/ST20/MDM2/ITGB1/GNAQ/B4GALT2/CDK5/BAK1/TIMP1/USP2/SWI5/B3GAT1/IKBIP/PPID/RO60/RBM4B/POLD1/RNF168/HSF1/PRIMPOL/TSPYL5/PLEKHB1/ERCC3/NPM1/YAP1/MYC/REV1/KARS1/TMEM161A/TANC1/PML/MAPK14/EXT1/XRCC4/GNB5/KAT5/CHEK2/ABCA4/GATA3/RAG1/POLH/SYNGAP1/FOS/EIF2AK4/AEN/THBD/ZMPSTE24/FEN1/TANK/RAD54L/GPR88/EEF1D/RAD54B/PNKP/NFATC4/BMF/PBK/BRAT1/TP53BP1	155
GO:0001889	liver development	60/5381	142/18870	0.000303212903677039	0.006786976812469	0.00542723502535397	CITED2/PHF2/NOTCH1/ONECUT1/RELA/HFE/CEBPB/CPS1/PCK2/DUT/GUCD1/CEBPG/PCNA/PKD1/LIPA/HMGCS2/TYMS/CFLAR/TGFBR3/ANXA1/SMAD3/HNRNPD/ASS1/NF1/PKD2/PTCH1/FGL1/IGF2R/PROX1/ATP7A/JARID2/XBP1/SMARCB1/PDX1/ARF6/COBL/SRD5A1/WNT4/SERPINA10/RARA/UCP2/VTN/CEBPA/HNF1B/ONECUT2/CDK5RAP3/RHBDD3/MET/MED1/NAGLU/SP3/RB1CC1/CLDN1/NPC1/ZMPSTE24/NPHP3/ACAT1/E2F8/NOTCH2/MAN2A1	60
GO:0043393	regulation of protein binding	60/5381	142/18870	0.000303212903677039	0.006786976812469	0.00542723502535397	TIAM1/STK4/ZFPM1/STYX/HIPK2/ANXA2/TMC8/HFE/HDAC4/BAG2/PRKACA/MITD1/LRP1/BLK/BAX/PKD1/TCF7L2/RPL11/KDM1A/DAB2/DERL1/GSK3B/ABL1/MARK3/PARK7/CDKN1A/TRIB3/PPP2CA/NES/ITGB1BP1/NRP1/CSNK1E/PPP2CB/ACTB/B2M/PTPRF/IFIT1/APP/MMP9/RAPGEF2/AURKB/TAF1/SLPI/PLK1/USP9X/DNAJB2/APOE/SORL1/VTN/MARK2/HDAC5/AKTIP/LRPAP1/EPB41/SNAPIN/ATP2A3/CARD16/DVL1/RACK1/SYMPK	60
GO:0071559	response to transforming growth factor beta	111/5381	293/18870	0.000303286663181546	0.006786976812469	0.00542723502535397	SKI/CITED2/CDH5/ACVRL1/PDE2A/ONECUT1/NRROS/MTMR4/HIPK2/CRKL/GLG1/CREBBP/ENG/SMAD6/ADAM9/BCL9L/SMAD4/ROCK2/IGF1R/SPRED1/PDCD5/SOX5/SIN3A/SPI1/EP300/DAB2/COL3A1/OGT/ABL1/ADAM17/TAB1/TGFB1/CFLAR/WWOX/LTBP3/COL1A2/SLC2A10/TGFBR3/FBN2/FNDC4/TGFBRAP1/SMAD3/TGFBR2/TP53/LATS1/PTPRK/ING1/SNX6/COL1A1/ZMIZ1/SAP130/CLEC3B/HDAC1/DDR2/DKK3/PPARA/RBBP7/ZEB2/LTBP4/CHST11/GIPC1/APPL1/DCSTAMP/RNF111/FNTA/ARID4B/STK16/FURIN/BRMS1/SMURF1/LTBP2/TGFB1I1/MAPK7/CIDEA/PARP1/HSP90AB1/JUN/CTSK/USP9X/PBLD/HTRA1/TGFBR3L/LATS2/MYOCD/WNT4/NFKBIZ/FERMT1/FLCN/HSPA5/CDKN1C/ZNF703/ACTA2/FERMT2/ONECUT2/NFATC1/PML/APPL2/PTK2/DUSP22/ZFP36L1/FOS/ZYX/CLDN1/FAM89B/EPB41L5/HPGD/ING2/NR3C1/MEF2C/PEG10/USP9Y	111
GO:0071560	cellular response to transforming growth factor beta stimulus	109/5381	287/18870	0.000306405454831865	0.00683262586426128	0.00546373848478912	SKI/CITED2/CDH5/ACVRL1/PDE2A/ONECUT1/NRROS/MTMR4/HIPK2/CRKL/GLG1/CREBBP/ENG/SMAD6/ADAM9/BCL9L/SMAD4/IGF1R/SPRED1/PDCD5/SOX5/SIN3A/SPI1/EP300/DAB2/COL3A1/OGT/ABL1/ADAM17/TAB1/TGFB1/CFLAR/WWOX/LTBP3/COL1A2/SLC2A10/TGFBR3/FBN2/TGFBRAP1/SMAD3/TGFBR2/TP53/LATS1/PTPRK/ING1/SNX6/COL1A1/ZMIZ1/SAP130/CLEC3B/HDAC1/DDR2/DKK3/PPARA/RBBP7/ZEB2/LTBP4/CHST11/GIPC1/APPL1/DCSTAMP/RNF111/FNTA/ARID4B/STK16/FURIN/BRMS1/SMURF1/LTBP2/TGFB1I1/MAPK7/CIDEA/PARP1/HSP90AB1/JUN/CTSK/USP9X/PBLD/HTRA1/TGFBR3L/LATS2/MYOCD/WNT4/NFKBIZ/FERMT1/FLCN/HSPA5/CDKN1C/ZNF703/ACTA2/FERMT2/ONECUT2/NFATC1/PML/APPL2/PTK2/DUSP22/ZFP36L1/FOS/ZYX/CLDN1/FAM89B/EPB41L5/HPGD/ING2/NR3C1/MEF2C/PEG10/USP9Y	109
GO:0031668	cellular response to extracellular stimulus	107/5381	281/18870	0.000309191023721268	0.00686845568077241	0.00549238995075022	VCAM1/FOLR2/KIF26A/AXL/CSNK1A1/ATG5/CREBBP/PLEC/SEH1L/SP1/USF2/DEPDC5/TSC2/HFE/IGF1R/RPTOR/PRKAG2/RRAGC/RIPOR1/NPRL3/DSC2/NUDT15/NONO/EP300/WIPI1/RHEB/CYSLTR1/OGT/CBL/FBXO22/NUDT1/PRKAA1/CDKN1A/TBL2/SZT2/RNF152/BECN1/MAP1LC3B2/TP53/FNIP1/ERCC6/ARHGAP35/TSC1/COL1A1/GABARAPL2/SESN1/PTPRC/SNAI2/MAP1LC3B/RXRA/RXRB/LYN/ATF3/GABARAPL1/RNF167/ULK1/PIK3C3/PPARA/TNFRSF11A/PRKAG1/IMPACT/SLC39A4/MYBBP1A/MAP1LC3A/PIK3C2B/XBP1/RRAGA/MAX/BMPR2/ATF4/BHLHA15/CTSK/GLUL/MDM2/GABARAP/DCTPP1/AKR1C3/MYOCD/SRD5A1/WNT4/CPEB4/UCP2/FLCN/HSPA5/SLC34A1/SESN3/KANK2/PRKAB1/PLIN2/CLEC16A/WDR24/FAS/NR1H4/MTMR3/MED1/KAT5/TBC1D7/PRKD1/FOS/GLRX2/GAS2L1/PRKAA2/EIF2AK4/DNAJC15/ELAPOR1/MAPKAP1/LAMP2	107
GO:0030866	cortical actin cytoskeleton organization	23/5381	42/18870	0.000314767074021492	0.00686845568077241	0.00549238995075022	FMNL2/EPB41L3/IQGAP1/EPB41L2/FMNL3/PLEC/ROCK2/AKAP11/LLGL1/TLN1/NCKAP1L/FHOD1/PLEK/ARF6/RACGAP1/FMNL1/IKBKB/RAB13/EPB41/IQGAP2/VPS4A/LLGL2/STRIP1	23
GO:0140467	integrated stress response signaling	23/5381	42/18870	0.000314767074021492	0.00686845568077241	0.00549238995075022	QRICH1/MAF/CEBPB/CEBPG/NCK2/PTPN2/CEBPD/DDIT3/PTPN1/MAFB/CREBZF/OMA1/TMED2/IMPACT/PPP1R15B/ATF4/JUN/CREB3/HSPA5/CEBPA/PPP1R15A/FOS/EIF2AK4	23
GO:1901983	regulation of protein acetylation	23/5381	42/18870	0.000314767074021492	0.00686845568077241	0.00549238995075022	NFYC/GSK3B/PRKAA1/PARK7/ERCC6/AUTS2/NFYB/DIP2A/HINT2/CEP295/PPARGC1A/MYBBP1A/SOX4/DDX3X/DDX21/TADA2A/KLF15/FLCN/PML/KAT5/DEK/SMARCA5/PRKAA2	23
GO:0051383	kinetochore organization	14/5381	21/18870	0.000315024825342967	0.00686845568077241	0.00549238995075022	SMC4/POGZ/TRAPPC12/CENPW/SUGT1/CENPH/RNF4/CENPC/CENPK/CENPE/MIS12/NDC80/CENPX/CENPT	14
GO:0032456	endocytic recycling	41/5381	89/18870	0.000315604074388879	0.00686845568077241	0.00549238995075022	LMTK2/SNX27/ARHGAP1/EHD3/GGA3/SNX12/RAB8B/BLTP1/SNF8/VPS29/CMTM6/PTPN23/RAB8A/GRIP1/VPS39/VPS26A/RAB7A/RAB11B/VPS13B/EPS15/SNX7/ACAP2/SNX17/VPS26C/EHD1/SNX30/STX16/ZDHHC2/HGS/VPS53/RAB35/CCDC93/ARF6/SORL1/AKAP5/VAMP4/DENND1C/RAB13/EPG5/RAB17/RAB11FIP3	41
GO:0034620	cellular response to unfolded protein	41/5381	89/18870	0.000315604074388879	0.00686845568077241	0.00549238995075022	ERN1/SELENOS/QRICH1/ERLEC1/SERP1/BAX/NCK2/PTPN2/DERL1/COPS5/TBL2/DDIT3/PTPN1/CREBZF/DERL2/ATF3/TMED2/PARP6/DERL3/DAXX/PPP1R15B/FGF21/UFL1/XBP1/DDRGK1/ATF4/BHLHA15/CREB3/PACRG/BAK1/ATF6/HSPA5/SERP2/HSF1/PPP1R15A/CDK5RAP3/OPTN/DNAJC10/HERPUD2/HSPD1/RACK1	41
GO:0000956	nuclear-transcribed mRNA catabolic process	55/5381	128/18870	0.000319854359864249	0.00693711527746673	0.00554729389079632	EDC4/THRAP3/AGO1/XRN1/SMG7/UPF1/CPEB3/PELO/SMG1/AGO2/TUT7/POLR2G/PAIP1/CASC3/TOB1/PNRC2/CNOT1/HNRNPD/EXOSC8/CNOT6/CNOT8/ETF1/SKIC8/SAMD4B/CNOT3/LSM1/ZCCHC7/LSM4/EIF3E/MRTO4/DCP1A/SSB/CNOT4/EXOSC9/ATM/HNRNPU/EXOSC3/EXOSC6/MAGOHB/DCPS/SKIC2/MLH1/CNOT6L/A1CF/ZFP36L1/NCBP2/RC3H1/PYM1/PATL1/CSDE1/CAPRIN1/SMG9/CNOT11/TENT4A/NT5C3B	55
GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	50/5381	114/18870	0.000326554937445573	0.00705826764110175	0.00564417389635585	SELENOS/TRIAP1/NONO/KDM1A/HIF1A/ARHGEF2/TAF9/PARK7/PARL/PTPN1/GATA4/RRM2B/TRAP1/MIF/CD44/NDUFS3/SNAI2/TXNDC12/IVNS1ABP/HDAC1/ZNF385A/MMP9/HELLS/CXCL12/GPX1/DNAJA1/CDKN2D/XBP1/ATF4/MAPK7/DDX3X/CCAR2/PDX1/CREB3/MDM2/ACKR3/BCL2L2/ENO1/CTNNB1/FBXO7/TMEM161A/GRINA/BDKRB2/PINK1/FZD1/HTRA2/ING2/RACK1/PYCR1/NOL3	50
GO:0030330	DNA damage response, signal transduction by p53 class mediator	35/5381	73/18870	0.000332130720199299	0.00715436684021144	0.00572102003178958	RPS27L/SMYD2/HIPK2/TRIAP1/RPL26/SPRED1/DYRK1A/FOXM1/CASP2/HIC1/KDM1A/EEF1E1/CDKN1A/PRAP1/PLK2/TP53/ACER2/MIF/CD44/SNAI2/SP100/TFAP4/ZNF385A/SOX4/COPS3/ATM/MDM2/NPM1/PSMD10/PML/MYO6/KAT5/CHEK2/ZMPSTE24/YJU2	35
GO:0006900	vesicle budding from membrane	39/5381	84/18870	0.000359243046932004	0.00769848463700721	0.00615612615433638	CHMP5/PDCD6/ANXA2/MYO18A/TRAPPC13/PRKCI/TMED9/ARFGAP3/S100A10/RAB7A/CHMP4B/TRAPPC3/PEF1/TRAPPC12/CHMP4A/TRAPPC4/TRAPPC2/TMED2/SEC24D/TRAPPC11/WASL/GOLPH3L/INSIG1/TRAPPC10/AP1G1/TRAPPC5/SAR1A/TFG/SEC24C/TRAPPC2L/TRAPPC2B/GBF1/PREB/SCAP/RAB1A/TRAPPC6A/GOLPH3/VPS4A/AP3S1	39
